,,,,,,,
,,,Gold,Silver,Grand Total,Percentage Gold,Percentage Silver
,Sakura pillow,,69,1253,1322,0.00%,5.51%
,Sakuramochi cushion,,17,695,712,0.00%,2.45%
,Scratching board,,9,314,323,0.00%,2.87%
,Scratching log,,30,695,725,0.00%,4.32%
,Scratching post,,8,258,266,0.00%,3.10%
,Sheep cushion,,13,379,392,0.00%,3.43%
,Shipping box (small),,6,364,370,0.00%,1.65%
,Shopping box (large),,9,168,177,0.00%,5.36%
,Silk crepe pillow,,21,2161,2182,0.00%,0.97%
,Snowy pillow,,58,1570,1628,0.00%,3.69%
,Soccer ball,,4,397,401,0.00%,1.01%
,Stress reliever,,14,305,319,0.00%,4.59%
,Stump house,,7,173,180,0.00%,4.05%
,Tail-thing teaser,,17,319,336,0.00%,5.33%
,Temari ball,,95,2062,2157,0.00%,4.61%
,Tent (blizzard),,53,1052,1105,0.00%,5.04%
,Tent (modern red),,17,277,294,0.00%,6.14%
,Tent (nature),,38,379,417,0.00%,10.03%
,Tent (pyramid),,23,764,787,0.00%,3.01%
,Thick cooling pad,,42,624,666,0.00%,6.73%
,Tiramisu cube,,5,684,689,0.00%,0.73%
,Toy capsule,,24,432,456,0.00%,5.56%
,Warm sock,,12,199,211,0.00%,6.03%
,Watermelon ball,,12,336,348,0.00%,3.57%
,Wild-thing teaser,,26,352,378,0.00%,7.39%
,Wing-thing teaser,,17,537,554,0.00%,3.17%
,Wood pail,,2,226,228,0.00%,0.88%
,Zanzibar cushion,,74,5535,5609,0.00%,1.34%
,Zebra grass gadget,,40,420,460,0.00%,9.52%
Small Total,,,2796,64441,67237,0.00%,4.34%
Grand Total,,0,4858,101051,105909,,
