Name,Toy,Fish,Type,Silver Equivalent,Gold Equivalent,Food condition,Date,Theme,Toy Size
Snowball / Shironeko-san,Ball of yarn,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Small
Smokey / Kuroneko-san,Scratching board,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Smokey / Kuroneko-san,Rubber ball (red),1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Small
Shadow / Haiiro-san,Rubber ball (red),7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
Sunny / Tobimike-san,Mister mouse,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Cat metropolis,2,Gold,100,2,Frisky bitz,10/7/2015,Modern style,Large
Bandit / Sabigara-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Baseball,11,Silver,11,0.22,Frisky bitz,10/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Callie / Mike-san,Ball of yarn,1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Small
Tabitha / Shimamike-san,Earthenware pot,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Speckles / Kurobuchi-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Gabriel / Hachiware-san,Zanzibar cushion,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Gabriel / Hachiware-san,Silk crepe pillow,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Marshmallow / Point-san,Scratching board,10,Silver,10,0.2,Frisky bitz,10/7/2015,Modern style,Small
Marshmallow / Point-san,Silk crepe pillow,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Fred / Chatora-san,Cat metropolis,8,Silver,8,0.16,Frisky bitz,10/7/2015,Modern style,Large
Callie / Mike-san,Cat metropolis,1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Zanzibar cushion,14,Silver,14,0.28,Frisky bitz,10/7/2015,Modern style,Small
Lexy / Haishiro-san,Zanzibar cushion,18,Silver,18,0.36,Frisky bitz,10/7/2015,Modern style,Small
Breezy / Shirokiji-san,Earthenware pot,11,Silver,11,0.22,Frisky bitz,10/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Large
Patches / Buchi-san,Ball of yarn,6,Silver,6,0.12,Frisky bitz,10/7/2015,Modern style,Small
Gozer / Tobi-san,Zanzibar cushion,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Cocoa / Chahachi-san,Scratching board,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Mack / Shirotora-san,Baseball,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Small
Pickles / Shirosaba-san,Cat metropolis,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Large
Willie / Kurotora-san,Scratching board,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
Joe DiMeowgio / Tatejima-san,Baseball,2,Gold,100,2,Frisky bitz,10/7/2015,Modern style,Small
Chairman Meow / Nabeneko-san,Earthenware pot,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
Joe DiMeowgio / Tatejima-san,Baseball,2,Gold,100,2,Frisky bitz,10/7/2015,Modern style,Small
Sunny / Tobimike-san,Cat metropolis,1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Cat metropolis,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Large
Breezy / Shirokiji-san,Cardboard house,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Large
Fred / Chatora-san,Cat metropolis,11,Silver,11,0.22,Frisky bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Zanzibar cushion,15,Silver,15,0.3,Frisky bitz,10/7/2015,Modern style,Small
Shadow / Haiiro-san,Luxurious hammock,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Smokey / Kuroneko-san,Sheep cushion,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Small
Spots / Shirokuro-san,Cardboard house,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Large
Tabitha / Shimamike-san,Cardboard house,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Large
Sunny / Tobimike-san,Cardboard house,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Large
Cocoa / Chahachi-san,Cardboard house,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Large
Bolt / Kijitora-san,Sheep cushion,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
Lexy / Haishiro-san,Zanzibar cushion,23,Silver,23,0.46,Frisky bitz,10/7/2015,Modern style,Small
Tubbs / Manzoku-san,Frisky bitz,4,Gold,200,4,Frisky bitz,10/7/2015,Modern style,N/A
Shadow / Haiiro-san,Luxurious hammock,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Small
Callie / Mike-san,Cardboard house,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Large
Gozer / Tobi-san,Cardboard house,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Large
Socks / Kutsushita-san,Cat metropolis,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Large
Snowball / Shironeko-san,Sheep cushion,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Patches / Buchi-san,Luxurious hammock,12,Silver,12,0.24,Frisky bitz,10/7/2015,Modern style,Small
Gabriel / Hachiware-san,Silk crepe pillow,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Sunny / Tobimike-san,Baseball,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Bolt / Kijitora-san,Sheep cushion,14,Silver,14,0.28,Frisky bitz,10/7/2015,Modern style,Small
Spots / Shirokuro-san,Cat metropolis,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Large
Misty / Sabatora-san,Scratching board,14,Silver,14,0.28,Frisky bitz,10/7/2015,Modern style,Small
Willie / Kurotora-san,Cardboard house,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Baseball,23,Silver,23,0.46,Sashimi,10/7/2015,Modern style,Small
Snowball / Shironeko-san,Cardboard house,3,Silver,3,0.06,Sashimi,10/7/2015,Modern style,Large
Willie / Kurotora-san,Scratching board,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Small
Shadow / Haiiro-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Pickles / Shirosaba-san,Cat metropolis,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Large
Sunny / Tobimike-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Cardboard house,6,Silver,6,0.12,Sashimi,10/7/2015,Modern style,Large
Gabriel / Hachiware-san,Silk crepe pillow,5,Silver,5,0.1,Ritzy bitz,10/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Socks / Kutsushita-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Bandit / Sabigara-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Gozer / Tobi-san,Baseball,7,Silver,7,0.14,Sashimi,10/7/2015,Modern style,Small
Sunny / Tobimike-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Fred / Chatora-san,Silk crepe pillow,6,Silver,6,0.12,Ritzy bitz,10/7/2015,Modern style,Small
Marshmallow / Point-san,Cat metropolis,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Large
Callie / Mike-san,Luxurious hammock,3,Silver,3,0.06,Sashimi,10/7/2015,Modern style,Small
Bolt / Kijitora-san,Sheep cushion,17,Silver,17,0.34,Sashimi,10/7/2015,Modern style,Small
Spots / Shirokuro-san,Cardboard house,1,Silver,1,0.02,Sashimi,10/7/2015,Modern style,Large
Pickles / Shirosaba-san,Cardboard house,5,Silver,5,0.1,Sashimi,10/7/2015,Modern style,Large
Smokey / Kuroneko-san,Sheep cushion,6,Silver,6,0.12,Sashimi,10/7/2015,Modern style,Small
Lexy / Haishiro-san,Zanzibar cushion,20,Silver,20,0.4,Ritzy bitz,10/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Cat metropolis,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Large
Saint Purrtrick / Nekomata-san,Silk crepe pillow,25,Silver,25,0.5,Ritzy bitz,10/7/2015,Modern style,Small
Tabitha / Shimamike-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Socks / Kutsushita-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Rascal / Haihachi-san,Cardboard house,2,Silver,2,0.04,Sashimi,10/7/2015,Modern style,Large
Ginger / Akage-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Shadow / Haiiro-san,Scratching board,7,Silver,7,0.14,Ritzy bitz,10/7/2015,Modern style,Small
Tubbs / Manzoku-san,Ritzy bitz,46,Silver,46,0.92,Ritzy bitz,10/7/2015,Modern style,N/A
Patches / Buchi-san,Luxurious hammock,5,Silver,5,0.1,Ritzy bitz,10/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Zanzibar cushion,22,Silver,22,0.44,Ritzy bitz,10/7/2015,Modern style,Small
Rascal / Haihachi-san,Cardboard house,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Bolt / Kijitora-san,Sheep cushion,13,Silver,13,0.26,Ritzy bitz,10/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Large
Marshmallow / Point-san,Scratching board,11,Silver,11,0.22,Ritzy bitz,10/7/2015,Modern style,Small
Tabitha / Shimamike-san,Luxurious hammock,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Small
Callie / Mike-san,Cardboard house,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Cat metropolis,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Large
Snowball / Shironeko-san,Cardboard house,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Sunny / Tobimike-san,Cardboard house,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Large
Gabriel / Hachiware-san,Silk crepe pillow,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Small
Mack / Shirotora-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Breezy / Shirokiji-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Shadow / Haiiro-san,Luxurious hammock,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Small
Bandit / Sabigara-san,Sheep cushion,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Small
Gozer / Tobi-san,Baseball,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Small
Cocoa / Chahachi-san,Scratching board,5,Silver,5,0.1,Ritzy bitz,10/7/2015,Modern style,Small
Patches / Buchi-san,Cardboard house,10,Silver,10,0.2,Ritzy bitz,10/7/2015,Modern style,Large
Sunny / Tobimike-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Gozer / Tobi-san,Cardboard house,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Fred / Chatora-san,Cardboard house,10,Silver,10,0.2,Ritzy bitz,10/7/2015,Modern style,Large
Smokey / Kuroneko-san,Cat metropolis,3,Silver,3,0.06,Ritzy bitz,10/7/2015,Modern style,Large
Gabriel / Hachiware-san,Zanzibar cushion,6,Silver,6,0.12,Ritzy bitz,10/7/2015,Modern style,Small
Tabitha / Shimamike-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,10/7/2015,Modern style,Large
Pepper / Odd-san,Scratching board,7,Silver,7,0.14,Ritzy bitz,10/7/2015,Modern style,Small
Shadow / Haiiro-san,Cardboard house,4,Silver,4,0.08,Ritzy bitz,10/7/2015,Modern style,Large
Misty / Sabatora-san,Zanzibar cushion,11,Silver,11,0.22,Ritzy bitz,10/7/2015,Modern style,Small
Bandit / Sabigara-san,Cardboard house,5,Silver,5,0.1,Ritzy bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Cardboard house,18,Silver,18,0.36,Ritzy bitz,10/7/2015,Modern style,Large
Princess / Mugiwara-san,Cardboard house,1,Silver,1,0.02,Ritzy bitz,10/7/2015,Modern style,Large
Smokey / Kuroneko-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Cocoa / Chahachi-san,Cardboard house,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Pepper / Odd-san,Silk crepe pillow,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Pickles / Shirosaba-san,Cat metropolis,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Large
Patches / Buchi-san,Cat metropolis,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Bolt / Kijitora-san,Sheep cushion,13,Silver,13,0.26,Ritzy bitz,11/7/2015,Modern style,Small
Marshmallow / Point-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Cat metropolis,4,Gold,200,4,Ritzy bitz,11/7/2015,Modern style,Large
Fred / Chatora-san,Cat metropolis,8,Silver,8,0.16,Ritzy bitz,11/7/2015,Modern style,Large
Willie / Kurotora-san,Scratching board,5,Gold,250,5,Ritzy bitz,11/7/2015,Modern style,Small
Callie / Mike-san,Luxurious hammock,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Gozer / Tobi-san,Cardboard house,3,Gold,150,3,Ritzy bitz,11/7/2015,Modern style,Large
Breezy / Shirokiji-san,Cardboard house,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Rascal / Haihachi-san,Cardboard house,1,Silver,1,0.02,Ritzy bitz,11/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Cat metropolis,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Spots / Shirokuro-san,Luxurious hammock,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Lexy / Haishiro-san,Zanzibar cushion,14,Silver,14,0.28,Ritzy bitz,11/7/2015,Modern style,Small
Pickles / Shirosaba-san,Silk crepe pillow,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Misty / Sabatora-san,Scratching board,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,1,Silver,1,0.02,Ritzy bitz,11/7/2015,Modern style,Large
Bandit / Sabigara-san,Cat metropolis,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Lexy / Haishiro-san,Marble pad,17,Silver,17,0.34,Ritzy bitz,11/7/2015,Modern style,Small
Marshmallow / Point-san,Temari ball,9,Silver,9,0.18,Ritzy bitz,11/7/2015,Modern style,Small
Misty / Sabatora-san,Giant cushion,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Shadow / Haiiro-san,Giant cushion,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Peaches / Cream-san,Cardboard truck,19,Silver,19,0.38,Ritzy bitz,11/7/2015,Modern style,Small
Speckles / Kurobuchi-san,Beach umbrella,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Large
Mack / Shirotora-san,Rubber ball (red),2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Smokey / Kuroneko-san,Kotatsu,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Snowball / Shironeko-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Breezy / Shirokiji-san,Kotatsu,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Bolt / Kijitora-san,Kotatsu,14,Silver,14,0.28,Ritzy bitz,11/7/2015,Modern style,Large
Socks / Kutsushita-san,Rubber ball (red),3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Sunny / Tobimike-san,Cardboard truck,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Patches / Buchi-san,Temari ball,7,Silver,7,0.14,Ritzy bitz,11/7/2015,Modern style,Small
Lexy / Haishiro-san,Marble pad,25,Silver,25,0.5,Ritzy bitz,11/7/2015,Modern style,Small
Fred / Chatora-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Rubber ball (red),2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Princess / Mugiwara-san,Sakura pillow,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Gozer / Tobi-san,Cardboard truck,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Small
Tabitha / Shimamike-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Willie / Kurotora-san,Beach umbrella,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Smokey / Kuroneko-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Marshmallow / Point-san,Temari ball,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Willie / Kurotora-san,Beach umbrella,5,Gold,250,5,Ritzy bitz,11/7/2015,Modern style,Large
Princess / Mugiwara-san,Cardboard truck,3,Gold,150,3,Ritzy bitz,11/7/2015,Modern style,Small
Gabriel / Hachiware-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Callie / Mike-san,Kotatsu,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Spots / Shirokuro-san,Kotatsu,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Gabriel / Hachiware-san,Cardboard truck,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Snowball / Shironeko-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Beach umbrella,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Beach umbrella,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Socks / Kutsushita-san,Rubber ball (red),1,Silver,1,0.02,Ritzy bitz,11/7/2015,Modern style,Small
Tabitha / Shimamike-san,Kotatsu,1,Silver,1,0.02,Ritzy bitz,11/7/2015,Modern style,Large
Cocoa / Chahachi-san,Rubber ball (red),5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Patches / Buchi-san,Kotatsu,10,Silver,10,0.2,Ritzy bitz,11/7/2015,Modern style,Large
Princess / Mugiwara-san,Marble pad,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Small
Willie / Kurotora-san,Cardboard truck,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Smokey / Kuroneko-san,Beach umbrella,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Large
Shadow / Haiiro-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Gabriel / Hachiware-san,Beach umbrella,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Lexy / Haishiro-san,Marble pad,16,Silver,16,0.32,Ritzy bitz,11/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Beach umbrella,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Rascal / Haihachi-san,Rubber ball (red),2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Breezy / Shirokiji-san,Kotatsu,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Callie / Mike-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Snowball / Shironeko-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Gozer / Tobi-san,Cardboard truck,8,Silver,8,0.16,Ritzy bitz,11/7/2015,Modern style,Small
Pickles / Shirosaba-san,Giant cushion,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Fred / Chatora-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Beach umbrella,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Large
Princess / Mugiwara-san,Marble pad,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Marshmallow / Point-san,Sakura pillow,6,Silver,6,0.12,Ritzy bitz,11/7/2015,Modern style,Small
Smokey / Kuroneko-san,Beach umbrella,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Sunny / Tobimike-san,Kotatsu,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Bolt / Kijitora-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Tabitha / Shimamike-san,Giant cushion,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Beach umbrella,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Socks / Kutsushita-san,Cardboard truck,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Saint Purrtrick / Nekomata-san,Kotatsu,22,Silver,22,0.44,Ritzy bitz,11/7/2015,Modern style,Large
Patches / Buchi-san,Giant cushion,9,Silver,9,0.18,Ritzy bitz,11/7/2015,Modern style,Small
Gozer / Tobi-san,Cardboard truck,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Smokey / Kuroneko-san,Giant cushion,8,Silver,8,0.16,Ritzy bitz,11/7/2015,Modern style,Small
Callie / Mike-san,Giant cushion,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Cocoa / Chahachi-san,Rubber ball (red),5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Ginger / Akage-san,Kotatsu,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Large
Princess / Mugiwara-san,Beach umbrella,2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Large
Sunny / Tobimike-san,Kotatsu,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Misty / Sabatora-san,Marble pad,12,Silver,12,0.24,Ritzy bitz,11/7/2015,Modern style,Small
Bolt / Kijitora-san,Beach umbrella,7,Silver,7,0.14,Ritzy bitz,11/7/2015,Modern style,Large
Shadow / Haiiro-san,Sakura pillow,7,Gold,350,7,Ritzy bitz,11/7/2015,Modern style,Small
Lexy / Haishiro-san,Kotatsu,11,Silver,11,0.22,Ritzy bitz,11/7/2015,Modern style,Large
Lexy / Haishiro-san,Temari ball,19,Silver,19,0.38,Ritzy bitz,11/7/2015,Modern style,Small
Snowball / Shironeko-san,Kotatsu,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Beach umbrella,5,Gold,250,5,Ritzy bitz,11/7/2015,Modern style,Large
Shadow / Haiiro-san,Sakura pillow,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Small
Cocoa / Chahachi-san,Beach umbrella,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Gabriel / Hachiware-san,Cardboard truck,5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Speckles / Kurobuchi-san,Beach umbrella,4,Silver,4,0.08,Ritzy bitz,11/7/2015,Modern style,Large
Marshmallow / Point-san,Sakura pillow,8,Silver,8,0.16,Ritzy bitz,11/7/2015,Modern style,Small
Tabitha / Shimamike-san,Kotatsu,4,Gold,200,4,Ritzy bitz,11/7/2015,Modern style,Large
Patches / Buchi-san,Temari ball,10,Silver,10,0.2,Ritzy bitz,11/7/2015,Modern style,Small
Socks / Kutsushita-san,Rubber ball (red),2,Silver,2,0.04,Ritzy bitz,11/7/2015,Modern style,Small
Callie / Mike-san,Giant cushion,1,Silver,1,0.02,Ritzy bitz,11/7/2015,Modern style,Small
Fred / Chatora-san,Giant cushion,17,Silver,17,0.34,Ritzy bitz,11/7/2015,Modern style,Small
Spots / Shirokuro-san,Rubber ball (red),5,Silver,5,0.1,Ritzy bitz,11/7/2015,Modern style,Small
Breezy / Shirokiji-san,Kotatsu,3,Silver,3,0.06,Ritzy bitz,11/7/2015,Modern style,Large
Lexy / Haishiro-san,Sakura pillow,11,Silver,11,0.22,Sashimi,12/7/2015,Modern style,Small
Shadow / Haiiro-san,Rubber ball (red),5,Silver,5,0.1,Sashimi,12/7/2015,Modern style,Small
Marshmallow / Point-san,Temari ball,4,Silver,4,0.08,Sashimi,12/7/2015,Modern style,Small
Bolt / Kijitora-san,Beach umbrella,12,Silver,12,0.24,Sashimi,12/7/2015,Modern style,Large
Princess / Mugiwara-san,Sakura pillow,1,Silver,1,0.02,Sashimi,12/7/2015,Modern style,Small
Misty / Sabatora-san,Giant cushion,9,Silver,9,0.18,Sashimi,12/7/2015,Modern style,Small
Snowball / Shironeko-san,Kotatsu,4,Silver,4,0.08,Sashimi,12/7/2015,Modern style,Large
Saint Purrtrick / Nekomata-san,Kotatsu,17,Silver,17,0.34,Sashimi,12/7/2015,Modern style,Large
Speckles / Kurobuchi-san,Beach umbrella,2,Gold,100,2,Sashimi,12/7/2015,Modern style,Large
Smokey / Kuroneko-san,Kotatsu,5,Silver,5,0.1,Sashimi,12/7/2015,Modern style,Large
Cocoa / Chahachi-san,Rubber ball (red),6,Silver,6,0.12,Sashimi,12/7/2015,Modern style,Small
Pickles / Shirosaba-san,Giant cushion,8,Silver,8,0.16,Sashimi,12/7/2015,Modern style,Small
Gabriel / Hachiware-san,Kotatsu,6,Silver,6,0.12,Sashimi,12/7/2015,Modern style,Large
Mr Meowgi / Osamurai-san,Scratching log,1,Silver,1,0.02,Sashimi,12/7/2015,Modern style,Small
Pepper / Odd-san,Thick cooling pad,8,Silver,8,0.16,Sashimi,12/7/2015,Modern style,Small
Kathmandu / Maromayu-san,Temari ball,7,Gold,350,7,Sashimi,12/7/2015,Modern style,Small
Rascal / Haihachi-san,Tent (blizzard),3,Silver,3,0.06,Sashimi,12/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Giant cushion,2,Silver,2,0.04,Sashimi,12/7/2015,Modern style,Small
Callie / Mike-san,Cardboard café,1,Silver,1,0.02,Sashimi,12/7/2015,Modern style,Large
Marshmallow / Point-san,Temari ball,7,Silver,7,0.14,Sashimi,12/7/2015,Modern style,Small
Smokey / Kuroneko-san,Kotatsu,5,Silver,5,0.1,Sashimi,12/7/2015,Modern style,Large
Snowball / Shironeko-san,Giant cushion,5,Gold,250,5,Sashimi,12/7/2015,Modern style,Small
Bolt / Kijitora-san,Kotatsu,4,Silver,4,0.08,Sashimi,12/7/2015,Modern style,Large
